mz	rt	intensity
211.0839315	5.055150032	1302
212.0023924	5.85466671	3238.472412
212.0027336	4.983766556	92846
213.0056799	4.983766556	8559.46875
213.0229098	10.76586628	2521
213.113382	4.312716484	4604
213.1864003	19.4034996	1848.930542
213.9989755	5.012333393	3777
213.9996313	4.983766556	4041
215.0021128	7.93898344	1166
215.0325203	1.314499974	1288.978027
215.0930679	3.698766708	1054
215.1034468	2.627966642	2042.9375
215.103872	2.14258337	5695
215.1039111	2.356683254	1508
215.1153813	1.757083297	2824
216.0336295	2.799316645	1330
216.0878468	2.014016628	1750
217.0179958	8.767016411	5117.786133
217.0180892	7.482150078	1181
217.0478	1.271600008	4566
217.1080016	4.084249973	1081
217.1082059	2.199666739	1977.031372
217.1086204	2.342400074	2200.2771
218.0501432	2.570883274	1003
218.0827474	10.36610031	2687.517822
218.1037763	2.556600094	15159
218.9967012	3.227633238	1619
218.9969394	5.212150097	1103
218.9972932	4.198433399	1471.82251
218.9974032	3.870049953	4794
218.9974358	4.826666832	5202.587402
218.9976926	2.870699883	2243.382813
219.0505143	1.314499974	7601
219.0775493	2.970616579	2415.798828
219.1069057	2.556600094	1487
220.0648668	2.799316645	1274
221.9561067	14.17806625	1294
222.0415345	5.169333458	1175
222.1135279	12.35060024	2399.510254
222.9920609	2.185400009	9048.314453
223.0199884	1.21449995	1737
224.0569391	3.541749954	29168.48828
224.062062	10.92286682	1650.410767
224.0622332	12.06503296	5863
224.5632036	12.06503296	1590
225.060396	3.556033373	5170.293945
225.0633888	1.542883277	23566.01172
225.0634101	1.642799973	2039
225.1135299	11.13704967	2784
225.1861911	19.27501678	2108
226.0182239	8.224550247	1293
226.0667441	1.557150006	1870
227.0765481	1.271600008	1723
227.1036883	1.42869997	1173
227.104034	1.314499974	2158
227.1151036	1.699983358	3128
227.2014557	19.93171692	1349.219849
227.2020749	20.34583282	1244.506104
227.2020827	20.16018295	4735
227.202325	20.0888176	29616
227.9975781	3.47028327	8161
228.2054786	20.0888176	21633.16211
229.0002633	3.47028327	1087
229.0176122	9.709349632	1130
229.0541617	12.83600044	1394
229.1195201	2.827866554	2792.764648
229.1445985	11.70810032	1005.009277
229.2092429	20.0888176	2194
230.0130775	5.197883129	2882
230.0134429	6.625583172	3773
230.9969333	5.711933136	2285
230.9975602	4.912316799	7213
231.033437	11.03706646	1317
232.0285767	2.827866554	1647
232.8840309	1.071766615	3102
233.0129202	3.68448329	3030
233.0134072	4.184166431	1225
237.0772608	4.112800121	1359
237.1248109	7.610616684	7556
238.0778879	11.52253342	3469
238.5791806	11.52253342	1210
239.0786102	4.327000141	1069.693726
239.114865	1.95691669	1556.270508
239.1156945	1.642799973	23372
239.1289708	14.9918499	1473.219604
239.2020577	19.97453308	3776.860107
240.1180538	1.657066703	3284
241.0496675	13.33576679	1028.442139
241.1083189	5.055150032	1517.400024
241.1193133	5.512000084	3072.880859
241.1194988	5.868933201	4341.087402
241.1195544	5.183599949	1577
241.1199279	4.969500065	1035
241.2173746	20.78840065	3132.399902
241.2176216	20.68840027	34482.60156
241.2176389	20.51711655	9622.676758
241.2179186	21.10250092	1021.596191
241.2180441	21.97338295	1024
242.0130746	6.525666714	1131
242.0132659	4.698216438	4416
242.2208991	20.53140068	1875
242.2212101	20.68840027	5511.208496
242.9971849	4.898033142	2031
243.0330364	10.42319965	2809
243.0626541	1.828449965	47531.99609
243.0783292	7.696350098	13553
243.124445	4.084249973	1009.099731
243.1355639	6.839683533	4790
243.1966691	18.43261719	2915.045166
244.0655623	1.842733383	5177
244.0813063	7.682066441	1828
245.0126396	2.185400009	2882.825684
245.0127219	7.539249897	1073.200073
245.0675592	11.60818291	1959
245.077237	1.814183354	8114
245.0934183	7.596350193	2267
245.1390362	4.398366451	1574
246.075328	10.32318306	2000
246.1533148	15.34879971	3155
246.9919814	2.856433392	1567
246.9920411	1.357333302	2455
