mz	rt	intensity
189.06836	5.7	8389
189.07526	6.2	2985
189.11176	12.3	5086
189.12207	1.5	4654
189.12291	1.8	7975
189.15960	1.1	11927
190.04952	6.3	7663
190.11797	2.3	2587
190.16236	1.1	1225
190.91040	1.1	999
191.02106	3.1	5207
191.05566	2.4	2226
191.06534	1.2	3116
191.06906	9.9	3853
192.02614	4.4	2822
192.06476	6.4	7700
192.07458	1.2	3673
192.10486	7.8	3206
193.03346	1.5	2094
193.03367	2.0	12185
193.09684	2.6	6797
193.09723	3.4	5725
193.15439	1.3	2556
194.03189	1.2	1342
194.06504	8.4	8207
194.08008	7.8	1828
194.08117	8.7	1824
194.10281	4.5	2061
194.99590	2.5	1502
195.06516	5.5	3277
195.06520	6.5	3010
195.08761	7.6	53750
195.11156	5.7	4324
195.11194	9.8	1720
196.05992	7.8	2247
196.06015	5.3	11508
196.06017	4.8	4280
196.08997	7.6	4766
196.09678	2.2	1842
196.87645	1.2	4290
197.06669	5.0	5263
197.06670	6.0	26987
197.12759	7.1	4289
197.12805	7.3	5695
198.05242	4.7	4154
198.05344	3.2	1430
198.06905	5.9	3160
198.08625	1.5	4328
198.93981	1.1	4210
199.08199	2.1	3107
199.08212	3.0	1960
199.08235	2.5	1877
199.10721	3.2	3256
199.10723	4.4	2522
199.10733	3.9	3171
200.05489	4.1	1883
200.09171	3.7	3085
200.10638	7.5	1968
200.19978	18.0	6939
201.05204	4.7	1674
201.08754	2.3	1141
201.15904	1.6	3393
202.04668	6.9	10168
202.07076	7.8	1808
202.11866	2.5	21720
202.14287	2.7	1855
202.14358	14.1	2674
203.04167	6.0	2312
203.08135	3.4	1484
203.09076	10.0	2219
203.10993	12.2	2333
203.12156	2.5	2749
203.12164	2.3	2434
203.12186	2.3	1339
203.12690	10.0	2184
203.13844	1.7	12805
203.13899	1.9	59395
203.14963	1.4	26017
204.02781	2.7	1805
204.12295	1.9	4769
204.12329	1.8	176338
204.13375	2.5	2018
204.13417	2.7	14488
204.14170	1.9	6061
204.15350	1.5	2001
205.06805	1.2	5070
205.08352	19.7	3063
205.08508	19.6	7832
205.08557	19.5	18910
205.09665	5.7	10446
205.12601	1.8	19055
205.13642	2.7	1705
205.15393	1.1	2021
206.04754	7.4	4294
206.08024	10.5	3397
206.08705	19.5	3529
206.99075	2.2	2044
207.09064	5.7	3388
207.10978	5.3	5058
208.00055	4.4	11256
209.01104	3.9	3518
209.05525	1.8	12815
209.06631	2.7	1613
209.06719	2.8	1445
209.10222	2.7	1712
210.05878	1.8	1871
210.06054	1.5	1464
210.06067	2.0	16942
211.05687	6.2	1950
211.07092	4.0	2332
211.08201	6.8	3184
211.09342	12.3	2410
211.14358	9.2	2512
211.14438	9.4	7467
211.17943	20.1	4528
212.03050	2.9	1841
212.10238	1.6	35983
212.10245	1.5	7930
212.84967	1.2	2261
213.09763	4.9	1738
213.10441	1.6	5248
214.04741	2.8	1530
214.14428	3.3	1827
214.91775	1.1	3835
215.13847	2.2	1557
215.13889	2.3	7511
215.13932	2.5	1826
216.04494	4.8	2476
216.95061	1.1	4130
217.07427	3.3	2421
217.11776	3.8	2771
217.11810	3.2	11246
217.12904	1.9	20151
217.15473	1.7	10744
218.02083	6.9	40404
218.08072	2.8	5825
218.13878	3.0	32833
218.15731	1.8	1309
218.94520	4.0	2025
218.98338	1.1	2493
219.00860	1.7	3055
219.01677	6.0	3792
219.02405	6.9	4174
219.04775	1.2	2525
219.14145	3.0	4594
220.01868	6.9	3919
220.06298	3.5	4462
220.06345	3.1	2292
220.11777	5.0	15762
220.11833	2.9	2186
220.11946	2.6	17270
220.11976	2.4	8244
220.12886	2.5	1559
220.13724	12.3	2600
221.04173	1.3	2775
221.09157	3.4	1887
221.11980	5.0	1784
221.12089	2.6	3048
222.01613	4.5	2883
222.01618	3.5	4484
222.07964	3.4	1585
222.99975	7.8	2141
223.07443	7.4	11117
223.08396	5.3	26579
224.07698	7.4	1682
224.08613	5.3	4307
225.00601	2.3	1511
225.06083	7.3	3129
225.10868	10.0	2654
226.07043	5.8	3259
226.08150	2.2	2144
226.12779	2.8	4225
226.14327	4.0	1788
226.97665	7.4	2384
227.03152	6.2	5664
227.04310	1.8	2665
227.06821	12.3	1864
227.07700	2.7	9217
227.07893	1.8	1827
227.10264	4.2	5769
227.12513	1.3	36850
227.17499	2.0	3287
228.08677	2.2	4549
228.19533	16.1	5352
229.11794	1.6	1518
229.11813	1.5	42691
229.15475	1.9	137236
229.15482	2.9	32382
229.15505	2.3	71473
229.15521	2.8	23607
229.15535	2.8	16315
230.01122	3.6	1197
230.12056	1.5	5053
230.12600	2.3	2006
230.13800	3.5	3454
230.15716	1.9	15619
230.15768	2.1	7293
230.15768	2.3	9034
230.15802	3.1	6180
230.18533	2.3	1576
230.98898	1.5	1660
230.98983	2.0	15755
231.13346	4.3	3019
231.14050	15.3	4572
231.14515	2.5	9035
