mz	rt	intensity
489.24933	9.46	267
489.753875	9.46	187
534.263152	9.46	187
534.762919	9.46	80
544.260002	9.46	160
551.270171	9.46	187
560.286547	9.46	160
583.265324	9.46	826
602.623416	9.46	187
665.835883	9.46	107
688.377371	9.46	321
702.341532	9.46	160
350.711989	9.5	187
351.680838	9.5	294
355.685291	9.5	134
359.200875	9.5	134
361.182088	9.5	160
431.700773	9.5	547
435.222086	9.5	80
464.273259	9.5	467
464.769066	9.5	187
552.270055	9.5	107
555.098413	9.5	160
594.255835	9.5	134
698.396825	9.5	134
353.694806	9.55	187
354.18613	9.55	134
359.192232	9.55	107
359.687448	9.55	217
383.507475	9.55	160
400.229078	9.55	107
401.719377	9.55	160
406.225885	9.55	187
413.74719	9.55	107
424.21332	9.55	107
428.197451	9.55	160
430.219919	9.55	107
432.202896	9.55	294
446.243875	9.55	107
450.884941	9.55	187
459.726632	9.55	160
461.239912	9.55	107
466.76438	9.55	160
468.257043	9.55	187
476.748638	9.55	294
487.744644	9.55	107
488.237755	9.55	160
516.266624	9.55	68.7
516.311568	9.55	107
517.307275	9.55	107
521.30237	9.55	187
535.580014	9.55	241
535.907054	9.55	160
543.755975	9.55	294
553.774218	9.55	80
556.283433	9.55	214
556.610553	9.55	214
561.290278	9.55	53
602.283722	9.55	271
602.952951	9.55	160
675.314464	9.55	134
351.195819	9.59	134
352.189824	9.59	321
358.202433	9.59	187
358.681381	9.59	160
358.718843	9.59	77.65
363.171791	9.59	134
366.196334	9.59	80
380.216775	9.59	80
385.20222	9.59	267
385.705326	9.59	134
391.869964	9.59	80
392.216848	9.59	134
392.242032	9.59	61.3
394.217557	9.59	187
394.710443	9.59	134
395.87965	9.59	53
402.221225	9.59	107
405.728256	9.59	214
407.206797	9.59	107
409.227167	9.59	160
410.211425	9.59	107
414.707235	9.59	60.17
414.741761	9.59	160
416.216247	9.59	243
418.205744	9.59	101.68
418.260642	9.59	187
428.738692	9.59	187
429.212417	9.59	107
429.241688	9.59	59.53
431.202054	9.59	1717
432.69988	9.59	134
439.734663	9.59	410
441.72164	9.59	160
442.689975	9.59	107
444.219244	9.59	107
450.216701	9.59	353
450.711796	9.59	380
451.215139	9.59	187
451.26616	9.59	32.48
452.224305	9.59	90.18
452.242332	9.59	107
453.216336	9.59	160
458.22909	9.59	214
466.257416	9.59	80
481.248169	9.59	107
487.270034	9.59	134
509.251226	9.59	214
516.767689	9.59	214
517.261817	9.59	241
527.777232	9.59	134
545.276091	9.59	80
553.272694	9.59	241
566.743177	9.59	134
587.29505	9.59	107
595.299895	9.59	107
603.30632	9.59	107
676.347058	9.59	80
861.391623	9.59	214
902.915963	9.59	107
357.199799	9.64	53
357.705385	9.64	160
361.184633	9.64	294
365.188705	9.64	134
369.165866	9.64	134
371.097551	9.64	134
372.312422	9.64	107
375.200306	9.64	241
375.235884	9.64	238.21
387.199074	9.64	160
388.203348	9.64	107
414.242296	9.64	160
415.228394	9.64	107
419.216514	9.64	331
422.237015	9.64	160
438.237383	9.64	134
441.216761	9.64	134
460.233607	9.64	187
460.726853	9.64	107
462.204923	9.64	80
465.27305	9.64	248
486.263462	9.64	321
490.22797	9.64	107
495.775474	9.64	214
531.278746	9.64	80
562.348923	9.64	241
562.847979	9.64	160
566.244561	9.64	107
618.311001	9.64	107
661.31776	9.64	107
670.386319	9.64	214
890.734349	9.64	160
392.692073	9.68	506
392.731271	9.68	96.82
398.210831	9.68	134
416.283394	9.68	160
417.21501	9.68	125.27
417.243869	9.68	267
418.716079	9.68	702
419.717915	9.68	241
434.209073	9.68	80
437.733867	9.68	214
440.241145	9.68	241
446.232051	9.68	134
448.221687	9.68	160
465.775298	9.68	107
472.225798	9.68	134
472.259571	9.68	61.06
476.749828	9.68	187
482.225528	9.68	134
699.41672	9.68	53
